Date,Product,Category,Price,Quantity Sold,Total Sales
2023-03-06,Tablet,Electronics,633.46,17,10768.82
2023-10-19,Smartphone,Accessories,760.21,5,3801.05
2023-07-18,Monitor,Electronics,69.05,8,552.4
2023-06-09,Headphones,Electronics,102.17,2,204.34
2023-07-30,Smartphone,Office,963.11,20,19262.2
2023-08-27,Headphones,Electronics,557.82,5,2789.1
2023-02-21,Keyboard,Accessories,199.26,6,1195.56
2023-03-04,Printer,Accessories,396.93,7,2778.51
2023-08-22,Monitor,Electronics,155.59,14,2178.26
2023-04-07,Monitor,Accessories,704.3,1,704.3
2023-04-27,Laptop,Office,887.09,2,1774.18
2023-10-22,Laptop,Accessories,754.45,20,15089.0
2023-01-31,Mouse,Electronics,468.28,18,8429.04
2023-01-27,Printer,Electronics,431.56,18,7768.08
2023-05-15,Headphones,Accessories,600.15,3,1800.45
2023-12-01,Printer,Office,920.25,18,16564.5
2023-03-06,Laptop,Accessories,611.74,13,7952.62
2023-08-07,Mouse,Accessories,546.69,11,6013.59
2023-12-06,Tablet,Office,837.09,1,837.09
2023-10-22,Smartphone,Electronics,902.42,17,15341.14
2023-12-22,Headphones,Electronics,27.71,6,166.26
2023-07-05,Smartphone,Accessories,789.97,20,15799.4
2023-08-29,Monitor,Electronics,335.19,7,2346.33
2023-05-05,Printer,Accessories,169.14,8,1353.12
2023-05-20,Mouse,Accessories,773.41,16,12374.56
2023-06-13,Smartphone,Electronics,104.8,20,2096.0
2023-08-29,Monitor,Office,496.25,7,3473.75
2023-05-19,Smartphone,Electronics,463.35,15,6950.25
2023-09-16,Smartphone,Office,729.67,18,13134.06
2023-08-18,Headphones,Office,537.96,11,5917.56
2023-07-01,Headphones,Accessories,893.04,10,8930.4
2023-01-08,Printer,Electronics,429.77,4,1719.08
2023-08-02,Mouse,Electronics,653.28,12,7839.36
2023-01-11,Laptop,Electronics,967.79,7,6774.53
2023-11-13,Monitor,Office,635.23,16,10163.68
2023-11-04,Smartphone,Electronics,33.98,20,679.6
2023-02-17,Tablet,Accessories,554.44,8,4435.52
2023-12-28,Headphones,Accessories,521.46,12,6257.52
2023-01-02,Headphones,Office,951.86,17,16181.62
2023-11-16,Headphones,Electronics,63.53,1,63.53
2023-04-21,Headphones,Accessories,71.98,17,1223.66
2023-03-11,Headphones,Office,464.91,1,464.91
2023-07-07,Mouse,Office,647.44,3,1942.32
2023-06-28,Printer,Office,673.77,2,1347.54
2023-03-13,Laptop,Electronics,692.69,18,12468.42
2023-09-22,Keyboard,Electronics,887.94,8,7103.52
2023-01-19,Tablet,Office,398.63,17,6776.71
2023-09-15,Smartphone,Electronics,573.77,8,4590.16
2023-05-01,Printer,Accessories,414.17,1,414.17
2023-01-08,Printer,Electronics,721.01,2,1442.02
2023-01-16,Headphones,Electronics,265.4,5,1327.0
2023-06-02,Mouse,Accessories,945.8,2,1891.6
2023-01-29,Mouse,Office,845.26,20,16905.2
2023-07-25,Mouse,Electronics,188.79,8,1510.32
2023-04-05,Mouse,Accessories,173.24,17,2945.08
2023-07-16,Keyboard,Accessories,15.22,19,289.18
2023-03-04,Keyboard,Electronics,994.89,13,12933.57
2023-02-10,Monitor,Accessories,246.5,16,3944.0
2023-10-24,Headphones,Office,510.78,18,9194.04
2023-08-20,Keyboard,Office,967.54,11,10642.94
2023-03-26,Headphones,Accessories,968.21,18,17427.78
2023-07-07,Keyboard,Electronics,636.45,14,8910.3
2023-05-08,Monitor,Electronics,232.42,14,3253.88
2023-04-12,Printer,Electronics,398.12,13,5175.56
2023-03-31,Keyboard,Electronics,722.16,4,2888.64
2023-06-28,Keyboard,Office,457.83,10,4578.3
2023-04-25,Smartphone,Accessories,186.27,15,2794.05
2023-01-25,Monitor,Accessories,635.11,19,12067.09
2023-08-24,Monitor,Accessories,350.59,17,5960.03
2023-10-14,Smartphone,Electronics,709.24,9,6383.16
2023-09-29,Headphones,Office,984.09,17,16729.53
2023-11-20,Smartphone,Office,362.4,10,3624.0
2023-09-15,Headphones,Accessories,65.84,14,921.76
2023-03-21,Smartphone,Accessories,691.97,12,8303.64
2023-01-24,Keyboard,Electronics,323.98,13,4211.74
2023-12-11,Tablet,Electronics,322.23,16,5155.68
2023-07-22,Headphones,Office,846.17,16,13538.72
2023-01-04,Keyboard,Office,791.1,17,13448.7
2023-07-15,Mouse,Accessories,10.49,3,31.47
2023-02-14,Headphones,Accessories,609.13,19,11573.47
2023-09-24,Laptop,Accessories,539.99,3,1619.97
2023-10-12,Printer,Electronics,770.0,6,4620.0
2023-02-23,Tablet,Accessories,112.79,8,902.32
2023-03-12,Printer,Electronics,749.08,8,5992.64
2023-07-11,Mouse,Electronics,920.08,5,4600.4
2023-03-14,Smartphone,Office,25.15,14,352.1
2023-11-11,Monitor,Accessories,986.63,4,3946.52
2023-08-20,Laptop,Electronics,460.01,11,5060.11
2023-06-29,Mouse,Office,70.42,4,281.68
2023-09-07,Laptop,Office,869.35,16,13909.6
2023-09-30,Smartphone,Office,669.25,4,2677.0
2023-12-25,Headphones,Office,467.96,18,8423.28
2023-10-04,Monitor,Electronics,952.91,13,12387.83
2023-04-01,Tablet,Accessories,826.13,11,9087.43
2023-06-28,Tablet,Accessories,644.43,14,9022.02
2023-10-22,Tablet,Accessories,376.64,8,3013.12
2023-08-19,Tablet,Electronics,34.39,1,34.39
2023-03-10,Smartphone,Electronics,712.23,8,5697.84
2023-10-02,Printer,Electronics,58.6,9,527.4
2023-11-05,Smartphone,Electronics,632.81,18,11390.58
2023-11-01,Printer,Accessories,704.02,10,7040.2
2023-09-26,Tablet,Accessories,697.3,8,5578.4
2023-05-01,Smartphone,Office,617.28,6,3703.68
2023-03-28,Monitor,Electronics,932.84,16,14925.44
2023-03-19,Printer,Electronics,526.26,5,2631.3
2023-12-23,Mouse,Office,683.01,3,2049.03
2023-05-11,Keyboard,Electronics,448.13,15,6721.95
2023-10-12,Headphones,Office,547.76,17,9311.92
2023-05-03,Smartphone,Electronics,716.23,10,7162.3
2023-03-02,Printer,Accessories,596.86,18,10743.48
2023-08-10,Headphones,Accessories,215.66,19,4097.54
2023-04-19,Monitor,Electronics,659.36,15,9890.4
2023-09-27,Printer,Electronics,756.61,4,3026.44
2023-11-11,Tablet,Accessories,423.49,10,4234.9
2023-08-07,Mouse,Office,563.26,13,7322.38
2023-03-28,Smartphone,Accessories,721.99,18,12995.82
2023-11-15,Keyboard,Office,645.67,17,10976.39
2023-07-04,Headphones,Office,795.7,20,15914.0
2023-01-14,Headphones,Accessories,104.76,8,838.08
2023-08-07,Mouse,Office,753.55,6,4521.3
2023-04-27,Monitor,Office,624.54,19,11866.26
2023-01-11,Monitor,Accessories,647.01,10,6470.1
2023-09-02,Smartphone,Electronics,593.87,3,1781.61
2023-10-15,Keyboard,Electronics,826.58,9,7439.22
2023-02-17,Keyboard,Accessories,426.49,8,3411.92
2023-05-20,Tablet,Office,945.75,16,15132.0
2023-10-10,Headphones,Electronics,579.54,10,5795.4
2023-05-20,Mouse,Office,252.42,12,3029.04
2023-01-01,Printer,Accessories,857.81,1,857.81
2023-10-30,Smartphone,Accessories,94.96,3,284.88
2023-02-05,Headphones,Electronics,327.0,18,5886.0
2023-06-12,Tablet,Electronics,115.86,10,1158.6
2023-11-14,Tablet,Office,886.57,16,14185.12
2023-08-28,Mouse,Electronics,438.08,12,5256.96
2023-10-12,Mouse,Accessories,187.98,9,1691.82
2023-01-23,Monitor,Office,44.85,9,403.65
2023-11-20,Printer,Electronics,225.32,4,901.28
2023-03-05,Laptop,Electronics,297.73,17,5061.41
2023-02-21,Headphones,Office,308.84,20,6176.8
2023-06-01,Printer,Electronics,908.71,4,3634.84
2023-03-06,Smartphone,Electronics,947.21,3,2841.63
2023-03-26,Monitor,Electronics,219.26,2,438.52
2023-07-13,Printer,Accessories,828.39,10,8283.9
2023-02-15,Monitor,Accessories,830.36,6,4982.16
2023-04-05,Monitor,Electronics,825.6,14,11558.4
2023-03-09,Laptop,Office,728.73,6,4372.38
2023-05-09,Keyboard,Accessories,467.13,7,3269.91
2023-10-08,Headphones,Accessories,550.21,4,2200.84
2023-03-18,Mouse,Electronics,508.12,7,3556.84
2023-07-02,Monitor,Office,64.88,13,843.44
2023-12-10,Keyboard,Accessories,859.62,1,859.62
2023-06-20,Keyboard,Office,175.74,13,2284.62
2023-06-27,Keyboard,Accessories,45.03,7,315.21
2023-09-14,Printer,Accessories,448.29,6,2689.74
2023-05-07,Headphones,Accessories,436.97,1,436.97
2023-01-11,Keyboard,Electronics,825.84,5,4129.2
2023-08-02,Headphones,Accessories,523.74,13,6808.62
2023-06-25,Tablet,Electronics,60.32,10,603.2
2023-12-10,Tablet,Office,728.42,4,2913.68
2023-03-30,Keyboard,Electronics,571.66,15,8574.9
2023-11-28,Printer,Electronics,543.51,14,7609.14
2023-12-31,Smartphone,Electronics,533.73,9,4803.57
2023-04-28,Printer,Accessories,998.97,9,8990.73
2023-12-06,Smartphone,Accessories,357.24,15,5358.6
2023-08-06,Monitor,Electronics,711.33,18,12803.94
2023-12-28,Laptop,Office,896.12,6,5376.72
2023-08-02,Monitor,Office,766.62,18,13799.16
2023-07-15,Monitor,Accessories,468.37,5,2341.85
2023-10-17,Tablet,Electronics,751.24,1,751.24
2023-11-25,Laptop,Electronics,608.86,11,6697.46
2023-09-18,Laptop,Office,437.84,4,1751.36
2023-08-21,Mouse,Office,535.71,8,4285.68
2023-09-30,Printer,Office,197.28,20,3945.6
2023-05-07,Smartphone,Accessories,604.1,1,604.1
2023-03-11,Tablet,Electronics,777.11,9,6993.99
2023-10-22,Keyboard,Office,526.65,17,8953.05
2023-02-12,Tablet,Electronics,115.37,17,1961.29
2023-07-31,Keyboard,Electronics,397.62,5,1988.1
2023-09-24,Printer,Office,26.65,5,133.25
2023-07-08,Headphones,Electronics,167.53,3,502.59
2023-08-04,Smartphone,Office,838.95,4,3355.8
2023-05-17,Smartphone,Accessories,849.43,8,6795.44
2023-07-11,Monitor,Office,196.93,5,984.65
2023-04-06,Smartphone,Office,636.95,8,5095.6
2023-04-04,Keyboard,Accessories,559.41,6,3356.46
2023-10-21,Printer,Accessories,281.74,17,4789.58
2023-08-30,Tablet,Accessories,558.38,11,6142.18
2023-11-07,Tablet,Accessories,293.84,1,293.84
2023-07-31,Mouse,Accessories,996.3,14,13948.2
2023-02-09,Laptop,Electronics,813.34,8,6506.72
2023-04-14,Headphones,Electronics,822.05,14,11508.7
2023-02-25,Smartphone,Office,81.16,15,1217.4
2023-08-06,Headphones,Electronics,440.37,8,3522.96
2023-11-03,Headphones,Office,816.19,7,5713.33
2023-12-09,Laptop,Office,943.35,1,943.35
2023-11-17,Headphones,Electronics,211.34,15,3170.1
2023-02-27,Mouse,Office,39.85,8,318.8
2023-11-24,Monitor,Electronics,72.26,11,794.86
2023-09-29,Keyboard,Electronics,551.77,14,7724.78
2023-04-07,Printer,Electronics,194.66,3,583.98
2023-05-29,Monitor,Accessories,632.06,8,5056.48
